ticket,side,lots,recorded_open,recorded_close,recorded_price,recorded_pnl,candidate_feed,timezone_offset,price_role,contract_multiplier,feed_open_price,feed_close_price,implied_other_price,entry_error,exit_error,reconstructed_pnl,pnl_residual,timing_error,matched,match_reason
97638884,Sell,0.01,2026-08-31T08:03:50,2026-08-31T08:09:37,4425.37,5.49,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4425.385,4420.415,4419.88,0.015,0.535,4.97,0.52,0s_exact_bar,True,EXACT_BAR_MATCH
97451919,Buy,0.02,2026-08-28T08:18:43,2026-08-28T08:25:37,4580.67,5.5,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4580.485,4583.745,4583.42,0.185,0.325,6.52,-1.02,0s_exact_bar,True,EXACT_BAR_MATCH
97352852,Sell,0.02,2026-08-27T11:17:10,2026-08-27T11:30:12,4604.68,5.32,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4605.755,4600.895,4602.02,1.075,1.125,9.72,-4.4,0s_exact_bar,True,EXACT_BAR_MATCH
97182841,Buy,0.02,2026-08-26T07:57:51,2026-08-26T08:09:09,4640.61,5.06,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4640.145,4645.435,4643.14,0.465,2.295,10.58,-5.52,0s_exact_bar,True,EXACT_BAR_MATCH
97143853,Buy,0.01,2026-08-25T20:27:24,2026-08-25T20:35:19,4640.95,-1.09,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4639.875,4641.675,4639.86,1.075,1.815,1.8,-2.89,0s_exact_bar,True,EXACT_BAR_MATCH
97042659,Buy,0.01,2026-08-25T08:04:19,2026-08-25T08:10:16,4629.55,5.93,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4629.265,4636.445,4635.48,0.285,0.965,7.18,-1.25,<60s_adjacent_bar,True,WINDOW_TOLERANCE_MATCH
96882975,Buy,0.01,2026-08-24T07:34:43,2026-08-24T08:07:05,4635.03,6.72,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4635.625,4641.365,4641.75,0.595,0.385,5.74,0.98,0s_exact_bar,True,EXACT_BAR_MATCH
96756936,Buy,0.01,2026-08-21T08:11:26,2026-08-21T08:15:14,4536.82,1.02,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4535.515,4535.575,4537.84,1.305,2.265,0.06,0.96,0s_exact_bar,True,EXACT_BAR_MATCH
96653069,Sell,0.01,2026-08-20T08:03:17,2026-08-20T08:27:21,4490.48,4.65,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4490.935,4484.805,4485.83,0.455,1.025,6.13,-1.48,0s_exact_bar,True,EXACT_BAR_MATCH
96566692,Sell,0.02,2026-08-19T08:06:43,2026-08-19T08:14:58,4343.53,8,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4343.995,4339.205,4339.53,0.465,0.325,9.58,-1.58,0s_exact_bar,True,EXACT_BAR_MATCH
96484066,Sell,0.01,2026-08-18T06:00:51,2026-08-18T08:14:35,4399.36,6.92,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4401.935,4391.445,4392.44,2.575,0.995,10.49,-3.57,0s_exact_bar,True,WINDOW_TOLERANCE_MATCH
96391293,Sell,0.01,2026-08-17T07:49:26,2026-08-17T08:04:50,4395.88,2.43,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4395.615,4392.795,4393.45,0.265,0.655,2.82,-0.39,0s_exact_bar,True,EXACT_BAR_MATCH
96332229,Buy,0.01,2026-08-14T08:50:02,2026-08-14T10:10:43,4326.97,6.7,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4327.505,4333.275,4333.67,0.535,0.395,5.77,0.93,0s_exact_bar,True,EXACT_BAR_MATCH
96325914,Sell,0.01,2026-08-14T08:00:52,2026-08-14T08:19:37,4324.79,6.04,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4324.785,4319.115,4318.75,0.005,0.365,5.67,0.37,0s_exact_bar,True,EXACT_BAR_MATCH
96202433,Buy,0.01,2026-08-13T08:13:29,2026-08-13T08:15:27,4402.6,2.24,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4402.955,4404.315,4404.84,0.355,0.525,1.36,0.88,0s_exact_bar,True,EXACT_BAR_MATCH
96113042,Sell,0.01,2026-08-12T15:00:05,2026-08-12T15:07:11,4412.26,3.54,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4412.325,4409.045,4408.72,0.065,0.325,3.28,0.26,0s_exact_bar,True,EXACT_BAR_MATCH
96024216,Sell,0.01,2026-08-11T11:51:13,2026-08-11T12:01:18,4375.16,6.7,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4374.585,4368.705,4368.46,0.575,0.245,5.88,0.82,0s_exact_bar,True,EXACT_BAR_MATCH
96004348,Sell,0.01,2026-08-11T07:58:04,2026-08-11T07:59:58,4405.96,-3.58,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4405.835,4408.885,4409.54,0.125,0.655,-3.05,-0.53,0s_exact_bar,True,EXACT_BAR_MATCH
95918631,Buy,0.01,2026-08-10T07:10:04,2026-08-10T07:22:20,4328.99,7.46,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4329.945,4336.955,4336.45,0.955,0.505,7.01,0.45,0s_exact_bar,True,EXACT_BAR_MATCH
95800620,Buy,0.01,2026-08-07T08:08:00,2026-08-07T08:17:20,4263.68,4.74,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4264.675,4268.135,4268.42,0.995,0.285,3.46,1.28,0s_exact_bar,True,EXACT_BAR_MATCH
95773198,Buy,0.01,2026-08-06T20:23:51,2026-08-06T20:55:52,4239.76,5.6,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4239.625,4245.945,4245.36,0.135,0.585,6.32,-0.72,0s_exact_bar,True,EXACT_BAR_MATCH
95709969,Buy,0.01,2026-08-06T07:35:50,2026-08-06T08:04:52,4258.33,1.1,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4259.715,4260.335,4259.43,1.385,0.905,0.62,0.48,0s_exact_bar,True,EXACT_BAR_MATCH
95612645,Sell,0.01,2026-08-05T11:44:22,2026-08-05T11:52:17,4165.21,3.23,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4165.905,4161.065,4161.98,0.695,0.915,4.84,-1.61,0s_exact_bar,True,EXACT_BAR_MATCH
95598021,Buy,0.01,2026-08-05T07:50:18,2026-08-05T08:20:38,4133.53,4.04,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4133.345,4139.135,4137.57,0.185,1.565,5.79,-1.75,0s_exact_bar,True,EXACT_BAR_MATCH
95576013,Sell,0.01,2026-08-04T21:47:35,2026-08-04T21:59:40,4076.22,-4,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4076.585,4080.005,4080.22,0.365,0.215,-3.42,-0.58,0s_exact_bar,True,EXACT_BAR_MATCH
95511070,Sell,0.01,2026-08-04T08:06:17,2026-08-04T08:17:10,4061.67,2.66,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4061.435,4059.375,4059.01,0.235,0.365,2.06,0.6,0s_exact_bar,True,EXACT_BAR_MATCH
95443868,Sell,0.01,2026-08-03T08:03:06,2026-08-03T08:16:22,4063.33,5.5,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4062.675,4055.385,4057.83,0.655,2.445,7.29,-1.79,0s_exact_bar,True,WINDOW_TOLERANCE_MATCH
95369124,Buy,0.01,2026-07-31T07:51:51,2026-07-31T08:24:09,4076.89,4.76,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4076.335,4082.245,4081.65,0.555,0.595,5.91,-1.15,<60s_adjacent_bar,True,EXACT_BAR_MATCH
95298275,Buy,0.01,2026-07-30T12:32:41,2026-07-30T12:36:57,4062.11,5.28,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4061.595,4067.705,4067.39,0.515,0.315,6.11,-0.83,0s_exact_bar,True,EXACT_BAR_MATCH
95248660,Buy,0.01,2026-07-29T23:00:54,2026-07-29T23:08:41,4047.81,3.87,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4048.805,4051.475,4051.68,0.995,0.205,2.67,1.2,0s_exact_bar,True,EXACT_BAR_MATCH
95168933,Buy,0.01,2026-07-29T07:20:48,2026-07-29T07:53:59,4022.45,2.85,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4022.565,4025.385,4025.3,0.115,0.085,2.82,0.03,0s_exact_bar,True,EXACT_BAR_MATCH
95107372,Sell,0.01,2026-07-28T07:47:22,2026-07-28T08:28:37,4046.03,4.07,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4045.935,4042.205,4041.96,0.095,0.245,3.73,0.34,0s_exact_bar,True,EXACT_BAR_MATCH
95072289,Buy,0.01,2026-07-27T16:33:09,2026-07-27T16:45:17,4078.44,9.29,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4078.525,4086.325,4087.73,0.085,1.405,7.8,1.49,0s_exact_bar,True,EXACT_BAR_MATCH
95047920,Buy,0.01,2026-07-27T07:18:11,2026-07-27T08:11:22,4087.56,5.58,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4087.595,4092.695,4093.14,0.035,0.445,5.1,0.48,0s_exact_bar,True,EXACT_BAR_MATCH
94991858,Sell,0.01,2026-07-24T10:35:14,2026-07-24T11:26:33,4052.29,3.78,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4051.085,4048.555,4048.51,1.205,0.045,2.53,1.25,0s_exact_bar,True,EXACT_BAR_MATCH
94986774,Sell,0.01,2026-07-24T08:50:08,2026-07-24T09:00:10,4028.48,4.29,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4026.975,4024.795,4024.19,1.505,0.605,2.18,2.11,0s_exact_bar,True,EXACT_BAR_MATCH
94942223,Sell,0.01,2026-07-23T12:20:23,2026-07-23T13:30:45,4096.12,2.96,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4094.575,4091.975,4093.16,1.545,1.185,2.6,0.36,0s_exact_bar,True,EXACT_BAR_MATCH
94927689,Buy,0.01,2026-07-23T07:48:08,2026-07-23T08:07:30,4123.62,-2.1,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4122.765,4123.165,4121.52,0.855,1.645,0.4,-2.5,0s_exact_bar,True,EXACT_BAR_MATCH
94908427,Buy,0.01,2026-07-22T22:54:35,2026-07-22T23:03:30,4129.52,1.14,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4130.565,4130.785,4130.66,1.045,0.125,0.22,0.92,0s_exact_bar,True,EXACT_BAR_MATCH
94864297,Sell,0.01,2026-07-22T07:00:59,2026-07-22T08:02:01,4130.33,2.1,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4129.755,4127.985,4128.23,0.575,0.245,1.77,0.33,0s_exact_bar,True,EXACT_BAR_MATCH
94842197,Sell,0.01,2026-07-21T19:41:05,2026-07-21T19:44:14,4074.65,2.32,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4073.245,4072.075,4072.33,1.405,0.255,1.17,1.15,0s_exact_bar,True,EXACT_BAR_MATCH
94810342,Buy,0.01,2026-07-21T09:41:33,2026-07-21T09:54:41,4075.28,4.74,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4078.865,4079.815,4080.02,3.585,0.205,0.95,3.79,0s_exact_bar,True,EXACT_BAR_MATCH
94775324,Sell,0.01,2026-07-20T17:51:46,2026-07-20T17:59:42,4010.12,3.71,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4010.735,4006.265,4006.41,0.615,0.145,4.47,-0.76,0s_exact_bar,True,EXACT_BAR_MATCH
94754184,Buy,0.01,2026-07-20T11:10:48,2026-07-20T11:19:04,4020.21,5.38,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4019.995,4025.005,4025.59,0.215,0.585,5.01,0.37,0s_exact_bar,True,EXACT_BAR_MATCH
94694698,Sell,0.01,2026-07-17T09:35:22,2026-07-17T10:48:29,4003.55,5.33,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4002.605,3996.925,3998.22,0.945,1.295,5.68,-0.35,0s_exact_bar,True,EXACT_BAR_MATCH
94627775,Sell,0.01,2026-07-16T08:45:23,2026-07-16T08:57:20,4032.12,2.64,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4030.705,4028.405,4029.48,1.415,1.075,2.3,0.34,0s_exact_bar,True,WINDOW_TOLERANCE_MATCH
94588522,Buy,0.01,2026-07-15T15:13:35,2026-07-15T15:24:38,4036.97,1.36,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4036.925,4039.135,4038.33,0.045,0.805,2.21,-0.85,0s_exact_bar,True,EXACT_BAR_MATCH
94571902,Buy,0.01,2026-07-15T08:31:12,2026-07-15T08:41:16,4025.35,7.2,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4027.375,4032.755,4032.55,2.025,0.205,5.38,1.82,0s_exact_bar,True,EXACT_BAR_MATCH
94518850,Buy,0.01,2026-07-14T08:30:53,2026-07-14T09:08:09,4024.24,7.08,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4024.765,4030.705,4031.32,0.525,0.615,5.94,1.14,0s_exact_bar,True,EXACT_BAR_MATCH
94517647,Sell,0.01,2026-07-14T07:51:04,2026-07-14T07:55:55,4017.7,-1.69,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4018.235,4018.675,4019.39,0.535,0.715,-0.44,-1.25,0s_exact_bar,True,EXACT_BAR_MATCH
94482317,Sell,0.01,2026-07-13T15:43:27,2026-07-13T15:49:24,4063.5,-3.54,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4063.435,4065.715,4067.04,0.065,1.325,-2.28,-1.26,0s_exact_bar,True,WINDOW_TOLERANCE_MATCH
94467306,Sell,0.01,2026-07-13T08:16:27,2026-07-13T08:29:25,4066.64,8.19,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4066.055,4058.135,4058.45,0.585,0.315,7.92,0.27,0s_exact_bar,True,EXACT_BAR_MATCH
94425120,Buy,0.01,2026-07-10T08:49:00,2026-07-10T09:08:48,4111.13,5.39,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4111.815,4116.755,4116.52,0.685,0.235,4.94,0.45,0s_exact_bar,True,EXACT_BAR_MATCH
94382823,Buy,0.01,2026-07-09T10:15:32,2026-07-09T10:37:26,4101.86,6.34,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4102.675,4107.605,4108.2,0.815,0.595,4.93,1.41,0s_exact_bar,True,EXACT_BAR_MATCH
94375434,Sell,0.01,2026-07-09T07:39:07,2026-07-09T07:43:07,4063.53,3.94,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4063.575,4056.865,4059.59,0.045,2.725,6.71,-2.77,0s_exact_bar,True,WINDOW_TOLERANCE_MATCH
94351863,Sell,0.01,2026-07-08T14:04:59,2026-07-08T14:34:03,4053.41,5.72,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4053.825,4047.295,4047.69,0.415,0.395,6.53,-0.81,0s_exact_bar,True,EXACT_BAR_MATCH
94339039,Sell,0.01,2026-07-08T08:08:25,2026-07-08T08:25:20,4131.49,6.64,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4130.485,4125.495,4124.85,1.005,0.645,4.99,1.65,0s_exact_bar,True,EXACT_BAR_MATCH
94292496,Sell,0.01,2026-07-07T11:45:26,2026-07-07T11:57:37,4130.41,3.51,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4129.705,4126.485,4126.9,0.705,0.415,3.22,0.29,0s_exact_bar,True,EXACT_BAR_MATCH
94291110,Sell,0.01,2026-07-07T10:41:18,2026-07-07T10:43:52,4128.54,-2.74,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4127.265,4131.295,4131.28,1.275,0.015,-4.03,1.29,0s_exact_bar,True,EXACT_BAR_MATCH
94289139,Sell,0.01,2026-07-07T08:30:02,2026-07-07T08:33:52,4127.24,5.04,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4124.695,4121.495,4122.2,2.545,0.705,3.2,1.84,0s_exact_bar,True,EXACT_BAR_MATCH
94258974,Sell,0.01,2026-07-06T06:37:10,2026-07-06T07:23:13,4167.97,5.12,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4166.765,4161.755,4162.85,1.205,1.095,5.01,0.11,0s_exact_bar,True,WINDOW_TOLERANCE_MATCH
94241160,Sell,0.01,2026-07-03T08:08:26,2026-07-03T08:22:23,4180.61,4.8,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4180.115,4173.965,4175.81,0.495,1.845,6.15,-1.35,0s_exact_bar,True,EXACT_BAR_MATCH
94240579,Buy,0.01,2026-07-03T06:32:03,2026-07-03T06:35:00,4179.46,1.95,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4180.885,4180.425,4181.41,1.425,0.985,-0.46,2.41,0s_exact_bar,True,EXACT_BAR_MATCH
94223505,Buy,0.01,2026-07-02T16:13:42,2026-07-02T16:15:41,4124.15,-3.29,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4122.775,4120.425,4120.86,1.375,0.435,-2.35,-0.94,0s_exact_bar,True,EXACT_BAR_MATCH
94199359,Sell,0.01,2026-07-01T17:01:51,2026-07-01T17:03:41,4093.49,8.63,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4088.375,4084.345,4084.86,5.115,0.515,4.03,4.6,0s_exact_bar,True,EXACT_BAR_MATCH
94147775,Buy,0.01,2026-06-30T07:15:05,2026-06-30T07:25:58,3972.5,5.19,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,3973.615,3978.025,3977.69,1.115,0.335,4.41,0.78,0s_exact_bar,True,EXACT_BAR_MATCH
94116926,Buy,0.01,2026-06-29T14:55:16,2026-06-29T15:08:30,4037.87,8.67,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4040.065,4046.165,4046.54,2.195,0.375,6.1,2.57,0s_exact_bar,True,EXACT_BAR_MATCH
94074059,Sell,0.01,2026-06-26T14:36:53,2026-06-26T14:49:42,4051.97,4.55,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4051.938,4045.858,4047.42,0.032,1.562,6.08,-1.53,0s_exact_bar,True,EXACT_BAR_MATCH
94051620,Buy,0.01,2026-06-25T19:46:01,2026-06-25T20:27:18,4025.8,8.77,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4025.845,4034.995,4034.57,0.045,0.425,9.15,-0.38,0s_exact_bar,True,EXACT_BAR_MATCH
93990129,Buy,0.01,2026-06-25T07:19:16,2026-06-25T07:30:21,3990,4.22,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,3991.585,3994.595,3994.22,1.585,0.375,3.01,1.21,0s_exact_bar,True,EXACT_BAR_MATCH
93935706,Buy,0.01,2026-06-24T16:41:19,2026-06-24T16:46:25,4007.36,2.37,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4008.185,4011.925,4009.73,0.825,2.195,3.74,-1.37,0s_exact_bar,True,EXACT_BAR_MATCH
93909211,Buy,0.01,2026-06-24T10:08:33,2026-06-24T10:15:20,4088.7,-3.38,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4089.045,4086.985,4085.32,0.345,1.665,-2.06,-1.32,0s_exact_bar,True,EXACT_BAR_MATCH
93873774,Sell,0.01,2026-06-23T21:06:17,2026-06-23T21:32:06,4127.31,4.54,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4125.775,4121.075,4122.77,1.535,1.695,4.7,-0.16,0s_exact_bar,True,WINDOW_TOLERANCE_MATCH
93832434,Buy,0.01,2026-06-23T06:39:04,2026-06-23T06:48:57,4135.04,3.98,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4136.645,4139.085,4139.02,1.605,0.065,2.44,1.54,0s_exact_bar,True,EXACT_BAR_MATCH
93798546,Buy,0.01,2026-06-22T08:28:11,2026-06-22T08:39:30,4189.21,6.82,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4189.355,4196.485,4196.03,0.145,0.455,7.13,-0.31,0s_exact_bar,True,EXACT_BAR_MATCH
